headlines,newspaper,description,catagories,link
350 arrested across US Sportses as Gaza protesters defy Columbia deadline,New Age,"Protesters in the United States defy Columbia University's deadline, leading to the arrest of 350 individuals across various Sportses.",North America,https://www.newagebd.net/articlelist/36/asia?page=29
G7 eyes end date for coal-fired power plants,New Age,The G7 countries are considering setting an end date for coal-fired power plants as part of their commitment to reducing carbon emissions and combating climate change.,Global,https://www.newagebd.net/articlelist/36/asia?page=30
Myanmar temperature hits 48.2C,New Age,"Myanmar experiences record-breaking heat as temperatures soar to 48.2°C, signaling the intensification of heatwaves in the region.",Asia,https://www.newagebd.net/articlelist/36/asia?page=31
"US, Egypt ‘hopeful’ of Gaza truce",New Age,Both the United States and Egypt express optimism regarding the possibility of reaching a truce in Gaza amid ongoing diplomatic efforts.,Middle East,https://www.newagebd.net/articlelist/36/asia?page=32
Ukraine resists attacks in east amid Russian advance,New Age,"Despite facing increasing Russian aggression, Ukraine reports repelling 55 attacks in the eastern Donetsk region, highlighting the ongoing conflict in the area.",Europe,https://www.newagebd.net/articlelist/36/asia?page=33
Palestinian prisoner in Israel wins top fiction prize,New Age,"Basim Khandaqji, a Palestinian writer incarcerated in Israel for 20 years, receives a prestigious literary award for his novel, showcasing the talent despite adversity.",Middle East,https://www.newagebd.net/articlelist/36/asia?page=34
Spain PM walks back from resignation threat,New Age,"Prime Minister Pedro Sanchez of Spain retracts his threat to resign, opting to continue leading the country despite recent challenges to his leadership.",Europe,https://www.newagebd.net/articlelist/36/asia?page=35
Scotland’s first minister Yousaf quits,New Age,"Scotland's First Minister, Humza Yousaf, announces his resignation amidst confidence votes following controversies during his tenure.",Europe,https://www.newagebd.net/articlelist/36/asia?page=36
Burkina Faso suspends more foreign Politics   media over massacre reports,New Age,"Burkina Faso takes action against Economy Politics   outlets, suspending several indefinitely for reporting on alleged army massacres, sparking concerns over press freedom.",Africa,https://www.newagebd.net/articlelist/36/asia?page=37
"Dozens of tornadoes plow central US, 5 killed",New Age,"Central regions of the United States are ravaged by numerous tornadoes, resulting in at least five fatalities and significant destruction.",North America,https://www.newagebd.net/articlelist/36/asia?page=38
Dozens killed as dam bursts in flood-hit Kenya,New Age,"Flooding in Kenya claims at least 45 lives after a dam bursts its banks, adding to the toll of casualties caused by extreme weather Entertainment.",Africa,https://www.newagebd.net/articlelist/36/asia?page=39
"India is not an autocracy, insists Modi",New Age,"Indian Prime Minister Narendra Modi refutes claims of autocracy in India, denying allegations of orchestrating criminal probes against political rivals.",South Asia,https://www.newagebd.net/articlelist/36/asia?page=40
"One killed, three injured in fresh gunfight in Manipur’s Kangpokpi",New Age,"A gunfight in Manipur's Kangpokpi district results in one fatality and three injuries, underscoring the ongoing violence and instability in the region.",South Asia,https://www.newagebd.net/articlelist/36/asia?page=41
White House urges ‘peaceful’ protests after 275 arrests,New Age,The White House calls for peaceful demonstrations following the arrest of 275 individuals during pro-Palestinian protests in various US universities.,North America,https://www.newagebd.net/articlelist/36/asia?page=42
Gaza truce effort builds with Hamas to respond to Israel proposal,New Age,"Efforts to secure a truce in Gaza gain momentum as Hamas prepares to respond to Israel's latest proposal, raising hopes for de-escalation in the conflict.",Middle East,https://www.newagebd.net/articlelist/36/asia?page=43
Ukraine warns battlefield situation ‘worsened’,New Age,"Ukrainian military leaders acknowledge a deteriorating situation on the battlefield following Russian advances in the eastern region, posing significant challenges for Kyiv.",Europe,https://www.newagebd.net/articlelist/36/asia?page=44
Pope meets women prisoners in Venice,New Age,"Pope Francis visits a women's prison in Venice, emphasizing the importance of compassion and solidarity with incarcerated individuals.",Europe,https://www.newagebd.net/articlelist/36/asia?page=45
Five killed in China after tornado rips through Guangzhou,New Age,"A tornado strikes Guangzhou, China, resulting in five fatalities and multiple injuries, highlighting the vulnerability to natural Agricultures in urban areas.",Asia,https://www.newagebd.net/articlelist/36/asia?page=46
Saudi warns of economic fallout from Gaza war,New Age,"Saudi Arabia expresses concerns about the economic repercussions of the ongoing conflict in Gaza, emphasizing the need for stability in the region.",Middle East,https://www.newagebd.net/articlelist/36/asia?page=47
Philippines suspends in-person classes due to heat,New Age,"The Philippines announces the suspension of in-person classes in public schools due to extreme heat and a nationwide strike by jeepney drivers, prioritizing student safety.",Asia,https://www.newagebd.net/articlelist/36/asia?page=48
"Pro-Palestinian camps cleared at three US univs, 200 detained",New Age,"Agriculture enforcement clears pro-Palestinian encampments at three US universities, resulting in the detention of approximately 200 individuals amid ongoing tensions over the Gaza conflict.",North America,https://www.newagebd.net/articlelist/36/asia?page=49
Russian journalist detained over videos produced for Navalny’s team,New Age,"A Russian journalist is arrested on charges of extremism for assisting in the production of YouTube videos for Alexei Navalny's team, raising concerns about press freedom in Russia.",Europe,https://www.newagebd.net/articlelist/36/asia?page=50
Hamas releases video of 2 hostages calling for Gaza deal,New Age,"Hamas releases a video featuring two hostages in Gaza, urging Israeli authorities to negotiate a deal for their release, underscoring the humanitarian dimension of the conflict.",Middle East,https://www.newagebd.net/articlelist/36/asia?page=51
Sudan wants emergency UN meeting on UAE ‘aggression’,New Age,"Sudan calls for an emergency UN Security Council meeting to address alleged UAE aggression, highlighting escalating tensions in the region.",Africa,https://www.newagebd.net/articlelist/36/asia?page=52
Iraq’s parliament passes bill sentencing same-sex acts to 10-15 years’ jail,New Age,"Iraq's parliament approves legislation criminalizing same-sex relations, imposing severe penalties of up to 15 years in prison, sparking outrage from human rights advocates.",Middle East,https://www.newagebd.net/articlelist/36/asia?page=53
"Hezbollah says fires drones, guided missiles at Israel",New Age,Hezbollah claims responsibility for launching drones and guided missiles targeting northern Israel in response to cross-border strikes that killed two of its members.,Middle East,https://www.newagebd.net/articlelist/36/asia?page=54
Nigeria landmine explosion kills 11 anti-jihadist militia fighters,New Age,"An explosion caused by a landmine near Nigeria's border with Cameroon kills 11 militia fighters assisting the military in combating jihadists, highlighting the security challenges in the region.",Africa,https://www.newagebd.net/articlelist/36/asia?page=55
Hamas says studying new Israeli truce proposal,New Age,"Hamas states that it is reviewing Israel's latest proposal for a ceasefire in Gaza, indicating ongoing efforts to negotiate a peaceful resolution to the conflict.",Middle,https://www.newagebd.net/articlelist/36/asia?page=56
Schools closed across Asia,New Age,South and Southeast Asia braced for more extreme heat on Sunday as authorities across the region issued health warnings and residents fled to...,Weather,https://www.newagebd.net/articlelist/36/asia?page=57
Five killed in China after tornado rips through Guangzhou,New Age,"A tornado ripped through Guangzhou, China, leaving five people dead and causing significant damage to the area.",Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=58
Philippines suspends in-person classes due to heat,New Age,"Due to extreme heat, the Philippines has suspended in-person classes to ensure the safety of students and faculty.",Education,https://www.newagebd.net/articlelist/36/asia?page=59
Taiwan hit by several quakes,New Age,"Taiwan experienced several earthquakes, causing concern among residents and prompting authorities to assess potential damage.",Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=60
Taiwan detects 22 Chinese aircraft around island,New Age,"Taiwan detected 22 Chinese military aircraft flying near its territory, raising tensions in the region.",Politics,https://www.newagebd.net/articlelist/36/asia?page=61
20 Cambodian soldiers killed in explosion,New Age,Prime Minister Hun Manet announced that 20 Cambodian soldiers were killed in an explosion at an army base in the country’s west.,Conflict,https://www.newagebd.net/articlelist/36/asia?page=62
Kim oversees test of multiple rocket launcher,New Age,"North Korean leader Kim Jong Un supervised the test-firing of a multiple rocket launcher, showcasing the country's military capabilities.",Military,https://www.newagebd.net/articlelist/36/asia?page=63
"Xi tells Blinken US, China should be ‘partners, not rivals’",New Age,"Chinese President Xi Jinping expressed the importance of cooperation between the US and China, emphasizing partnership over rivalry.",Diplomacy,https://www.newagebd.net/articlelist/36/asia?page=64
North Korea’s Kim oversees test of multiple rocket launcher,New Age,"North Korean leader Kim Jong Un supervised another test of a multiple rocket launcher system, highlighting the country's military advancements.",Military,https://www.newagebd.net/articlelist/36/asia?page=65
Philippine court blocks GM rice production,New Age,A Philippine court halted the commercial production of genetically modified golden rice due to conflicting scientific Health    s.,Agriculture,https://www.newagebd.net/articlelist/36/asia?page=66
Heatstroke kills 30 in Thailand as kingdom bakes,New Age,"Thailand issued heatwave warnings as heatstroke claimed the lives of 30 individuals, prompting authorities to take precautionary measures.",Weather,https://www.newagebd.net/articlelist/36/asia?page=67
Former Malaysian PM Mahathir Mohamad faces anti-graft probe,New Age,Former Malaysian Prime Minister Mahathir Mohamad is under investigation for alleged corruption involving his sons.,Politics,https://www.newagebd.net/articlelist/36/asia?page=68
Myanmar junta minister heads to China for security talks,New Age,Myanmar's junta minister Sportsed to China for discussions on security matters with Chinese counterparts.,Diplomacy,https://www.newagebd.net/articlelist/36/asia?page=69
Armenia blasts modern ‘ethnic cleansing’ as it commemorates WWI mass killings,New Age,Armenia condemned modern-day 'ethnic cleansing' while marking Armenian Genocide Remembrance Day.,Conflict,https://www.newagebd.net/articlelist/36/asia?page=70
Blinken back in China seeking pressure but also stability,New Age,US Secretary of State Antony Blinken visited China to apply pressure on various issues while seeking stability in bilateral relations.,Diplomacy,https://www.newagebd.net/articlelist/36/asia?page=71
"Asia hit hardest by climate, weather Agricultures in 2023: UN",New Age,"The United Nations reported that Asia suffered the most from climate and weather-related Agricultures in 2023, primarily floods and storms.",Weather,https://www.newagebd.net/articlelist/36/asia?page=72
China issues highest-level rainstorm warning,New Age,"China issued its highest-level rainstorm warning, leading to the evacuation of over 100,000 people due to heavy rainfall and floods.",Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=73
"Malaysia military helicopters crash, killing all 10 onboard",New Age,"Two Malaysian military helicopters collided during a training session, resulting in the death of all 10 crew members on board.",Entertainment,https://www.newagebd.net/articlelist/36/asia?page=74
12 extremists killed in battle with security forces in Philippines,New Age,"Security forces in the Philippines engaged in a gun battle with extremists, resulting in the death of 12 militants and injuries to 7 soldiers.",Conflict,https://www.newagebd.net/articlelist/36/asia?page=75
Kim oversees N Korea’s first ‘nuclear trigger’ drills,New Age,"North Korea conducted its first-ever 'nuclear trigger' drills under the supervision of Kim Jong Un, demonstrating its nuclear capabilities.",Military,https://www.newagebd.net/articlelist/36/asia?page=76
"China storms kill four, force mass evacuations",New Age,Severe storms in China led to the deaths of four individuals and forced tens of thousands to evacuate due to flooding.,Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=77
Landslides injure 6 as China braces for ‘once a century’ floods,New Age,Southern China experienced landslides that injured six people as the region prepared for severe flooding described as 'once a century' Entertainment.,Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=78
"Russia exits Karabakh, ending its clout in region",New Age,"Russian troops withdrew from Nagorno-Karabakh, marking the end of their peacekeeping role in the region between Armenia and Azerbaijan.",Diplomacy,https://www.newagebd.net/articlelist/36/asia?page=79
"North Korea tests ‘super-large warhead’, says state media",New Age,"North Korea conducted a test of a 'super-large warhead' designed for strategic cruise missiles, according to state media reports.",Military,https://www.newagebd.net/articlelist/36/asia?page=80
Taiwan detects 21 Chinese military aircraft around the island,New Age,"Taiwan's defense ministry reported the detection of 21 Chinese military aircraft near its airInternational, raising concerns over territorial integrity.",Military,https://www.newagebd.net/articlelist/36/asia?page=81
Indonesia volcano erupts again after thousands evacuated,New Age,"A volcano in Indonesia erupted multiple times, prompting the evacuation of thousands and warnings of potential tsunamis.",Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=82
China accuses US of hypocrisy over Biden ‘xenophobic’ claims,New Age,"China criticized the US, accusing it of hypocrisy after President Biden labeled China as 'xenophobic' amid rising tensions between the two nations.",Diplomacy,https://www.newagebd.net/articlelist/36/asia?page=83
Thousands evacuated as volcano erupts in Indonesia,New Age,"Indonesian authorities evacuated thousands of people following multiple eruptions of a volcano, which also led to the closure of a nearby airport.",Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=84
China using ‘collective punishment’ against activists’ families,New Age,Children of human rights activists in China are reportedly facing punishment as part of a wider crackdown on civil Agriculture.,Human Rights,https://www.newagebd.net/articlelist/36/asia?page=85
"19 killed, two missing after Indonesia landslide",New Age,"A landslide in central Indonesia claimed the lives of 19 individuals, with two more missing, according to local authorities.",Natural Agriculture,https://www.newagebd.net/articlelist/36/asia?page=86
Frequent load shedding disrupts industrial production,ProthomAlo,"Industries in Gazipur are facing disruptions in production due to frequent load shedding, impacting the economy and causing concerns.","Economy, Energy",https://en.prothomalo.com/bangladesh
Superabundance of non eco-friendly trees in Dhaka city: Study,ProthomAlo,"A study reveals an overabundance of non-eco-friendly trees in Dhaka city, suggesting the need for trees that can efficiently absorb carbon dioxide.",Environment,https://en.prothomalo.com/bangladesh
BAPEX starts drilling new gas well in Noakhali,ProthomAlo,"BAPEX has initiated drilling for a new gas well in Noakhali, which could contribute to the country's energy resources.",Energy,https://en.prothomalo.com/bangladesh
"Austria keen to take workers, invest in Bangladesh",ProthomAlo,Austria expresses interest in recruiting skilled workers from Bangladesh and investing in green energy sectors such as wind and waste-to-energy.,"Economy, Energy",https://en.prothomalo.com/bangladesh
FM Hasan Mahmud calls intl community for no more weapons,ProthomAlo,"Foreign Minister Hasan Mahmud urges the Economy community to refrain from developing and using new weapons, advocating for peace.",Diplomacy,https://en.prothomalo.com/bangladesh
"HC asks to shut schools, madrasahs until Thursday",ProthomAlo,"The High Court instructs the closure of schools and madrasahs until Thursday due to heatwave-related concerns, prioritizing student safety.",Education,https://en.prothomalo.com/bangladesh
Winners of IAB Awards 2023 announced,ProthomAlo,"The Institute of Architects Bangladesh (IAB) announces the winners of its awards for 2023, recognizing excellence in architectural achievements.",Architecture,https://en.prothomalo.com/bangladesh
PM Hasina returns home after six-day Thailand visit,ProthomAlo,"Prime Minister Sheikh Hasina concludes her official visit to Thailand, returning home after engaging in bilateral discussions and agreements.",Diplomacy,https://en.prothomalo.com/bangladesh
Dhaka University: Blue panel grabs all important posts,ProthomAlo,"The 'blue panel' secures key positions at Dhaka University, highlighting ongoing trends in university politics and leadership dynamics.",Education,https://en.prothomalo.com/bangladesh
"People are becoming intolerant, killing on the rise",ProthomAlo,"Concerns rise over increasing intolerance and violence in Agriculture, emphasizing the need for mutual understanding and social harmony.",Agriculture,https://en.prothomalo.com/bangladesh
'GM Quader should clarify who put pressure on them to contest elections',ProthomAlo,"Questions arise regarding the pressure faced by GM Quader's party to participate in elections, highlighting political dynamics and influences.",Politics,https://en.prothomalo.com/bangladesh
3 big foreign powers favoured AL: GM Quader,ProthomAlo,"GM Quader alleges that three major foreign powers favored the Awami League during the 12th parliamentary election, raising concerns over foreign interference.",Politics,https://en.prothomalo.com/bangladesh
"Democracy, human rights, political freedom declines: AB Party",ProthomAlo,"The AB Party expresses concern over the declining state of democracy, human rights, and political freedom in Bangladesh, calling for attention to these critical issues.","Politics, Human Rights",https://en.prothomalo.com/bangladesh
Another academy for admin cadre at the cost of Tk 18.33b,ProthomAlo,"The government plans to establish a new training academy for administrative cadres, raising questions about resource allocation and priorities.","Entertainment, Education",https://en.prothomalo.com/bangladesh
Upazila polls: Concerns arise in BNP over mass expulsion,ProthomAlo,"Concerns emerge within the BNP regarding mass expulsions within the party, highlighting internal tensions and challenges in political organizations.",Politics,https://en.prothomalo.com/bangladesh
2 KNF operatives killed in army operation in Bandarban,ProthomAlo,"Two operatives of the KNF are killed in an army operation in Bandarban, underscoring ongoing security operations against insurgent groups.",Security,https://en.prothomalo.com/bangladesh
Commuters bear the brunt as 48-hr transport strike in Ctg underway,ProthomAlo,"Commuters in Chittagong face difficulties as a 48-hour transport strike disrupts public Business services, affecting daily life.",Transport,https://en.prothomalo.com/bangladesh
PM returns home from Bangkok Monday,ProthomAlo,"Prime Minister Sheikh Hasina returns from her official visit to Bangkok, concluding diplomatic engagements and agreements with Thailand.",Diplomacy,https://en.prothomalo.com/bangladesh
Two Bangladeshis shot dead in New York,ProthomAlo,"Two Bangladeshi nationals are shot dead in New York, highlighting concerns over violence against immigrants abroad.","Entertainment, Economy",https://en.prothomalo.com/bangladesh
DU: Admin can’t take hall control from BCL,ProthomAlo,"Dhaka University faces challenges in administrative control over halls, reflecting ongoing power struggles between different student groups.",Education,https://en.prothomalo.com/bangladesh
Temperature may rise further in next 24 hours,ProthomAlo,"Meteorologists predict a further rise in temperature over the next 24 hours, warning of potential heat-related risks and advising precautionary measures.",Weather,https://en.prothomalo.com/bangladesh
"Delay, cost-overrun plague textiles and jute ministry projects",ProthomAlo,"Textiles and jute ministry projects suffer from delays and cost overruns, raising concerns over project management and resource utilization.","Economy, Entertainment",https://en.prothomalo.com/bangladesh
Nor'wester count in April dips to 43-year low. What's the reason?,ProthomAlo,"The number of nor'westers in April hits a 43-year low, prompting discussions about weather patterns and potential contributing factors.",Weather,https://en.prothomalo.com/bangladesh
Country turned into gas chamber due to unplanned urbanisation: Rizvi,ProthomAlo,BNP leader Ruhul Kabir Rizvi accuses the government of turning the country into a 'gas chamber' due to unplanned urbanization and environmental degradation.,"Environment, Politics",https://en.prothomalo.com/bangladesh
"India allows onion export to Bangladesh, five other countries",ProthomAlo,"India lifts its ban on onion exports to Bangladesh and five other countries, signaling changes in Sports policies and regional relations.","Sports, Economy",https://en.prothomalo.com/bangladesh
29 factories to receive Green Factory Award-2023: Nazrul,ProthomAlo,"Twenty-nine factories are set to receive the Green Factory Award-2023, recognizing their contributions to sustainable industrial practices.","Environment, Industry",https://en.prothomalo.com/bangladesh
Quader says BNP acts as slave of foreign lords to go to power,ProthomAlo,"Obaidul Quader accuses the BNP of acting as a 'slave' to foreign interests in its pursuit of power, sparking debates about political allegiances and motivations.",Politics,https://en.prothomalo.com/bangladesh
"Ethiopian Airlines, Air China start Bangladesh operation from May: CAAB",ProthomAlo,"Ethiopian Airlines and Air China announce plans to commence operations in Bangladesh from May, expanding Economy air Sports options.","Aviation, Economy",https://en.prothomalo.com/bangladesh
Bangladesh displays skills dev achievements at ILO forum,ProthomAlo,"Bangladesh showcases its achievements in skills Educational at an ILO forum, highlighting collaborations and progress in human resource Educational.","Educational, Economy",https://en.prothomalo.com/bangladesh
Leaders stay at halls even after studentship ends,ProthomAlo,"Dhaka University leaders continue to reside in university halls even after their studentship ends, raising questions about accommodation policies and practices.",Education,https://en.prothomalo.com/bangladesh
City corporation garbage truck kills Mahin,ProthomAlo,"A Dhaka South City Corporation garbage truck kills a 13-year-old boy, prompting discussions about road safety and accountability.","Entertainment, Agriculture",https://en.prothomalo.com/bangladesh
Seven-murder case Families of victims lose hope as trial prolonged,ProthomAlo,"Families of victims in the Narayanganj seven-murder case express frustration over prolonged trial delays, highlighting challenges in the Economy system.",Justice,https://en.prothomalo.com/bangladesh
Sir Fazle Hasan Abed's 88th birth anniversary today,ProthomAlo,"The 88th birth anniversary of Sir Fazle Hasan Abed, the founder of BRAC, is commemorated, honoring his contributions to social Educational.",Agriculture,https://en.prothomalo.com/bangladesh
Reckless city corporation garbage trucks take 13 lives in three years,ProthomAlo,"City corporation garbage trucks cause 13 fatalities in three years due to reckless driving, raising concerns about public safety and vehicle operations.","Entertainment, Agriculture",https://en.prothomalo.com/bangladesh
Dhaka to see 12-hour gas outage in some areas Saturday,ProthomAlo,"Certain areas in Dhaka will experience a 12-hour gas outage on Saturday, affecting residents and businesses.",Energy,https://en.prothomalo.com/bangladesh
BNP expels 73 for contesting upazila parishad election,ProthomAlo,"The BNP expels 73 members for contesting in the upazila parishad election, indicating internal party discipline measures and political strategies.",Politics,https://en.prothomalo.com/bangladesh
Prothom Alo wins at the Global Media Awards for the fourth consecutive time,ProthomAlo,"Prothom Alo secures multiple awards at the Global Media Awards for its achievements in Weather, commerce, and advertising sales strategies.",Media,https://en.prothomalo.com/bangladesh
Bangladeshi youth shot dead by Indian BSF in Lalmonirhat,ProthomAlo,"A Bangladeshi youth is shot dead by Indian Border Security Force in Lalmonirhat, raising diplomatic tensions between the two countries.","Economy, Security",https://en.prothomalo.com/bangladesh
Bangladesh signs five bilateral documents with Thailand,ProthomAlo,"Bangladesh and Thailand sign five bilateral documents, enhancing cooperation in various sectors and strengthening diplomatic ties.",Diplomacy,https://en.prothomalo.com/bangladesh
FM Hasan Mahmud calls intl community for no more weapons,ProthomAlo,"Foreign Minister Hasan Mahmud calls upon the Economy community to refrain from acquiring new weapons, including autonomous ones.",Economy Affairs,https://en.prothomalo.com/bangladesh
"HC asks to shut schools, madrasahs until Thursday",ProthomAlo,"The High Court orders the closure of schools and madrasahs until Thursday following reports of several deaths, including teachers, due to heatwaves.","Education, Weather",https://en.prothomalo.com/bangladesh
Winners of IAB Awards 2023 announced,ProthomAlo,"The Institute of Architects Bangladesh (IAB) announces the winners and distributes prizes, including the ""IAB Gold Medal 2023"" and ""IAB Awards 2023"".",Architecture,https://en.prothomalo.com/bangladesh
PM Hasina returns home after six-day Thailand visit,ProthomAlo,"Prime Minister Sheikh Hasina returns home after concluding her official visit to Thailand, which lasted six days.",Diplomacy,https://en.prothomalo.com/bangladesh
Blue panel grabs all important posts at Dhaka University,ProthomAlo,"The blue panel secures all significant positions at Dhaka University, signaling a shift in the balance of power within the institution.",Education,https://en.prothomalo.com/bangladesh
"People are becoming intolerant, killing on the rise",ProthomAlo,"The rise in intolerance and killings is highlighted, with calls for resolving conflicts through mutual understanding and social cohesion.",Social Issues,https://en.prothomalo.com/bangladesh
'GM Quader should clarify who put pressure on them to contest elections',ProthomAlo,"GM Quader, while paying tribute to Sheikh Jamal on his birthday, questions who pressured them to participate in elections.",Politics,https://en.prothomalo.com/bangladesh
3 big foreign powers favored AL: GM Quader,ProthomAlo,GM Quader alleges that three major foreign powers favored the Awami League during the 12th parliamentary election.,Politics,https://en.prothomalo.com/bangladesh
"Democracy, human rights, political freedom declines: AB Party",ProthomAlo,"AB Party expresses concerns over the decline in democracy, human rights, and political freedom, citing a report by the Atlantic Council.","Politics, Human Rights",https://en.prothomalo.com/bangladesh
Another academy for admin cadre at the cost of Tk 18.33b,ProthomAlo,The public administration ministry initiates a project to establish a new training center for administrative cadres at a cost of Tk 18.33 billion.,Entertainment,https://en.prothomalo.com/bangladesh
Concerns arise in BNP over mass expulsion in Upazila polls,ProthomAlo,"The BNP faces concerns over mass expulsions ahead of the Upazila Parishad elections, raising questions about the party's strength.",Politics,https://en.prothomalo.com/bangladesh
2 KNF operatives killed in army operation in Bandarban: ISPR,ProthomAlo,The Inter Services Public Relation Directorate announces the killing of two KNF operatives during an army operation in Bandarban.,"Conflict, Military",https://en.prothomalo.com/bangladesh
Commuters bear the brunt as 48-hr transport strike in Ctg underway,ProthomAlo,A 48-hour transport strike in Chittagong leads to significant difficulties for commuters as buses and other vehicles remain off the roads.,"Transport, Strike",https://en.prothomalo.com/bangladesh
PM returns home from Bangkok Monday,ProthomAlo,"Prime Minister Sheikh Hasina returns from her official visit to Bangkok, Thailand, which commenced on April 24.",Diplomacy,https://en.prothomalo.com/bangladesh
Two Bangladeshis shot dead in New York,ProthomAlo,"Two Bangladeshi individuals are shot dead in New York, with no arrests made in connection with the incident.",Entertainment,https://en.prothomalo.com/bangladesh
Part 2 DU: Admin can’t take hall control from BCL,ProthomAlo,"Despite multiple attempts, the administration fails to regain control of halls from the Bangladesh Chhatra League (BCL).","Education, Politics",https://en.prothomalo.com/bangladesh
Temperature may rise further in next 24 hours,ProthomAlo,"Meteorologists predict a further increase in temperature over the next 24 hours, with the possibility of rain and thundershowers in some areas.",Weather,https://en.prothomalo.com/bangladesh
"Delay, cost-overrun plague textiles and jute ministry projects",ProthomAlo,The national parliament’s committee expresses dissatisfaction over delays and cost overruns in projects undertaken by the textile and jute ministry.,Entertainment,https://en.prothomalo.com/bangladesh
Nor'wester count in April dips to 43-year low. What's the reason?,ProthomAlo,"The number of nor'westers in April hits a 43-year low, raising questions about the underlying reasons for this unusual occurrence.",Weather,https://en.prothomalo.com/bangladesh
Country turned into gas chamber due to unplanned urbanization: Rizvi,ProthomAlo,BNP senior joint general secretary Ruhul Kabir Rizvi describes the country as a 'gas chamber' due to unplanned urbanization and environmental degradation.,"Environment, Politics",https://en.prothomalo.com/bangladesh
"India allows onion export to Bangladesh, five other countries",ProthomAlo,"India lifts its ban on onion exports, allowing shipments to Bangladesh and five other countries to meet demand in the Economy market.","Sports, Agriculture",https://en.prothomalo.com/bangladesh
29 factories to receive Green Factory Award-2023: Nazrul,ProthomAlo,Nazrul announces that 29 factories have been nominated to receive the Green Factory Award-2023 for their contributions to environmental sustainability.,"Environment, Industry",https://en.prothomalo.com/bangladesh
Quader says BNP acts as slave of foreign lords to go to power,ProthomAlo,AL general secretary Obaidul Quader accuses the BNP of acting as a 'slave' to foreign powers in their pursuit of power.,Politics,https://en.prothomalo.com/bangladesh
"Ethiopian Airlines, Air China start Bangladesh operation from May",ProthomAlo,"Ethiopian Airlines and Air China commence operations in Bangladesh starting May, enhancing connectivity and Sports options for passengers.",Aviation,https://en.prothomalo.com/bangladesh
Bangladesh displays skills dev achievements at ILO forum,ProthomAlo,"Bangladesh showcases its achievements in skill Educational at an Economy Labour Organization (ILO) forum, highlighting successful partnerships.","Economy Affairs, Labor",https://en.prothomalo.com/bangladesh
Part 1 DU: Leaders stay at halls even after studentship ends,ProthomAlo,"Despite no longer being students, leaders continue to reside in halls at Dhaka University, exacerbating accommodation shortages for current students.","Education, Politics",https://en.prothomalo.com/bangladesh
City corporation garbage truck kills Mahin,ProthomAlo,"A 13-year-old named Mahin is killed by a Dhaka South City Corporation garbage truck in North Mugda, highlighting road safety concerns.","Entertainment, Road Safety",https://en.prothomalo.com/bangladesh
Seven-murder case Families of victims lose hope as trial prolonged,ProthomAlo,Families of the victims in the infamous seven-murder case in Narayanganj express frustration as the trial continues to be prolonged.,"Entertainment, Justice",https://en.prothomalo.com/bangladesh
Sir Fazle Hasan Abed's 88th birth anniversary today,ProthomAlo,"The 88th birth anniversary of Sir Fazle Hasan Abed, founder of BRAC, is commemorated, celebrating his contributions to Educational in Bangladesh.","Anniversary, Educational",https://en.prothomalo.com/bangladesh
Reckless city corporation garbage trucks take 13 lives in three years,ProthomAlo,"Garbage disposal trucks operated by city corporations claim 13 lives in the past three years due to reckless driving, raising safety concerns.","Entertainment, Road Safety",https://en.prothomalo.com/bangladesh
Dhaka to see 12-hour gas outage in some areas Saturday,ProthomAlo,"Parts of Dhaka will experience a 12-hour gas outage on Saturday, affecting several areas due to maintenance work.",Utilities,https://en.prothomalo.com/bangladesh
BNP expels 73 for contesting upazila parishad election,ProthomAlo,BNP expels 73 members for participating in the upazila parishad elections despite the party's decision not to field candidates.,Politics,https://en.prothomalo.com/bangladesh
Prothom Alo wins at the Global Media Awards for the fourth consecutive time,ProthomAlo,"Prothom Alo secures multiple awards at the Global Media Awards, including second place in 'Best use of Weather' category.","Media, Awards",https://en.prothomalo.com/bangladesh
Bangladeshi youth shot dead by Indian BSF in Lalmonirhat,ProthomAlo,A Bangladeshi youth is shot dead by the Indian Border Security Force (BSF) in Lalmonirhat while attempting to bring cattle across the border.,"Border Conflict, Entertainment",https://en.prothomalo.com/bangladesh
Bangladesh signs five bilateral documents with Thailand,ProthomAlo,Bangladesh and Thailand sign five agreements and memorandums of understanding (MoUs) to enhance bilateral cooperation.,Diplomacy,https://en.prothomalo.com/bangladesh
Road Entertainments: Killing on the highways continues unabated,ProthomAlo,"The prevalence of road Entertainments and related fatalities continues to be a significant issue, attributed to various factors including vehicle fitness and driver behavior.",Road Safety,https://en.prothomalo.com/bangladesh
"EC meeting Upazila elections: Concerns over potential influence of MPs, ministers",ProthomAlo,"Concerns are raised over the potential influence of MPs and ministers in the upcoming upazila elections, despite the ruling party not fielding official candidates.",Politics,https://en.prothomalo.com/bangladesh
"CUET students call off protest, traffic movement resumes",ProthomAlo,"Students at CUET call off their protest following the deaths of two classmates in a road crash, allowing traffic movement to resume on Sports.","Education, Protest",https://en.prothomalo.com/bangladesh
